semantic_model,runs,asr,bcr,fpr,fnr,precision,recall,f1,semantic_extraction_success_rate,schema_failure_rate,retry_rate,timeout_rate,api_success_rate,total_tokens,p50_latency_ms,p95_latency_ms,p99_latency_ms
Qwen3.8-Max,6,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6,1.0,0.7499999999999999,0.5,0.5,0.0,0.0,1.0,12355,81120.65334850922,139728.59368706122,147998.0509181507
Qwen3.7-Max,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,11702,49852.7438477613,162370.85395422764,174069.45259296335
DeepSeek-V4-Pro-0813,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,22129,70914.80328328907,83549.01223210618,83640.02187242731
DeepSeek-V3.2,6,0.0,0.6666666666666666,0.3333333333333333,0.0,0.75,1.0,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,6105,22297.259393613786,24044.149026973173,24432.79318152927
AWS-GPT-5.6-Sol,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5864,55446.92621938884,167560.61858893372,179476.5384648461
AWS-GPT-5.6-Luna,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5916,33875.74960896745,169726.1026815977,190512.6423518639
Claude-Sonnet-5,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,29051,37462.74075424299,76190.86291710846,85729.88156392239
AWS-Claude-Haiku-4.5,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6204,23400.09980322793,137913.52746123448,153823.51951273158
GLM-5.3,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,32671,125029.85398517922,316483.3643368911,356808.3412142005
GLM-5.2,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,12311,44017.119416967034,244143.37917650118,250083.59916182235
Kimi-K3,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9582,37197.687602601945,54481.80825798772,57704.82025104575
Kimi-K2.5,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,5314,3593.7792570330203,134154.83348304406,160675.37448154765
